frequency_hz,measured_real_ohm,measured_imag_ohm,measured_magnitude_ohm,measured_phase_deg,model_real_ohm,model_imag_ohm,model_magnitude_ohm,model_phase_deg,magnitude_error_db,phase_error_deg
311624.780005112,67.8779287008728,-1096.55524317082,1098.65409230119,-86.4578502682154,160.837987137168,-1234.64311801868,1245.07529369802,-82.5778287151561,1.08669275359384,3.88002155305929
314796.521618908,67.5170758513786,-1086.06417450595,1088.16080919908,-86.4426857615162,158.193053998974,-1222.44246679044,1232.63564241272,-82.6264817782573,1.08283282011731,3.81620398325891
318000.545469259,64.981586332214,-1074.26895459191,1076.23249967758,-86.5384463314327,155.594611323684,-1210.35736982336,1220.31743647245,-82.6746534557507,1.09133428290988,3.86379287568197
321237.180127319,65.0581489961357,-1064.29848742934,1066.28506183627,-86.5019916971584,153.041818419879,-1198.38684741869,1208.11954468561,-82.7223481964737,1.08473170636866,3.77964350068464
324506.757508461,64.8583916780662,-1053.32769943876,1055.32262999332,-86.4764751922075,150.533849664994,-1186.52992465851,1196.04084462241,-82.7695704099631,1.08721519782681,3.70690478224443
327809.612906324,64.2706665084688,-1043.3580033758,1045.33565986327,-86.4750442471972,148.069894252005,-1174.7856314928,1184.08022259716,-82.8163244666174,1.08250722777239,3.65871978057975
331146.085027188,62.7884330238651,-1034.9930081466,1036.89580683593,-86.5283740223494,145.649155939625,-1163.15300282204,1172.23657364879,-82.8626146978627,1.06560297967699,3.66575932448666
334516.516024714,62.9980277017255,-1022.30156464613,1024.24081180757,-86.4736799980468,143.270852805975,-1151.63107857552,1160.50880151973,-82.9084453963202,1.08492723748656,3.56523460172662
337921.251535029,60.6148445979218,-1013.18547783614,1014.99703048023,-86.5763028702819,140.934217005711,-1140.21890378551,1148.89581863319,-82.9538208159765,1.07631754362529,3.62248205430541
341360.640712174,60.3997101484228,-1002.44868381724,1004.26664221855,-86.5519733122876,138.638494530602,-1128.91552865736,1137.39654606889,-82.9987451723569,1.08125735432236,3.55322813993069
344835.036263905,59.9735676331505,-994.043548719681,995.851096081068,-86.5473625106411,136.382944973525,-1117.72000863574,1126.00991353732,-83.0432226426999,1.06695616818169,3.50413986794116
348344.794487866,59.8804366527722,-983.820140767436,985.640774356147,-86.5169761485054,134.166841295862,-1106.63140446697,1114.73485935259,-83.0872573661344,1.06905842202869,3.42971878237105
351890.275308128,59.2534104424374,-974.060028190017,975.860597199517,-86.5189086207023,131.989469598281,-1095.6487822578,1103.57033040393,-83.1308534438579,1.06824466559344,3.38805517684438
355471.842312096,58.2961118525654,-965.071950467188,966.831063958782,-86.5431930006401,129.850128894864,-1084.77121353055,1092.51528212587,-83.1740149393176,1.06153849817372,3.3691780613225
