frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_NM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_NM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_NM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_NM_dBuA,error_NM_PY_minus_LT_dB,LT_I_NM_phase_deg,PY_I_NM_phase_deg
153.10874616820337,0.9879025718667392,0.987902571866785,0.9879025718667621,0.9879025718667376,0.9879025718667376,0.9879025718667376,119.89428232116464,119.89428232116504,119.89428232116484,119.89428232116464,119.89428232116464,119.89428232116464,-1.9895196601282805e-13,-0.4160161868179317,-0.4160161868194967
154.8816618912485,0.9879088494666671,0.9879088494666788,0.9879088494666731,0.9879088494666676,0.9879088494666676,0.9879088494666676,119.8943375152379,119.89433751523799,119.89433751523794,119.89433751523791,119.89433751523791,119.89433751523791,-2.842170943040401e-14,-0.4208371049717408,-0.42083710497213
156.6751070108153,0.9879152733454084,0.9879152733454178,0.9879152733454131,0.98791527334541,0.98791527334541,0.98791527334541,119.89439399506436,119.89439399506445,119.8943939950644,119.89439399506438,119.89439399506438,119.89439399506438,-2.842170943040401e-14,-0.42571397600466454,-0.42571397600488203
158.48931924611176,0.9879218469128163,0.9879218469128392,0.9879218469128278,0.9879218469128159,0.9879218469128159,0.9879218469128159,119.89445179059868,119.89445179059886,119.89445179059878,119.89445179059868,119.89445179059868,119.89445179059868,-9.947598300641403e-14,-0.43064745236592455,-0.4306474523668182
160.3245390690046,0.9879285736582839,0.9879285736582721,0.9879285736582781,0.9879285736582838,0.9879285736582838,0.9879285736582838,119.89451093249336,119.89451093249328,119.89451093249332,119.89451093249336,119.89451093249336,119.89451093249336,4.263256414560601e-14,-0.4356381942222602,-0.4356381942218222
162.18100973589344,0.9879354571526172,0.9879354571526546,0.9879354571526358,0.987935457152617,0.987935457152617,0.987935457152617,119.89457145211533,119.89457145211567,119.89457145211549,119.89457145211533,119.89457145211533,119.89457145211533,-1.5631940186722204e-13,-0.44068686954228914,-0.44068686954358305
164.0589773199544,0.9879425010499301,0.9879425010498837,0.9879425010499069,0.987942501049928,0.987942501049928,0.987942501049928,119.89463338156239,119.89463338156197,119.89463338156216,119.89463338156236,119.89463338156236,119.89463338156236,1.9895196601282805e-13,-0.4457941542134143,-0.44579415421186613
165.95869074375656,0.9879497090895822,0.9879497090896202,0.9879497090896011,0.9879497090895822,0.9879497090895822,0.9879497090895822,119.89469675368015,119.89469675368049,119.89469675368031,119.89469675368015,119.89469675368015,119.89469675368015,-1.5631940186722204e-13,-0.45096073210871523,-0.45096073211008886
167.88040181225654,0.9879570850981968,0.9879570850981723,0.9879570850981846,0.9879570850981957,0.9879570850981957,0.9879570850981957,119.89476160207987,119.89476160207965,119.89476160207977,119.89476160207985,119.89476160207985,119.89476160207985,8.526512829121202e-14,-0.45618729522499585,-0.4561872952242314
169.82436524617495,0.987964632991667,0.9879646329916368,0.9879646329916519,0.9879646329916667,0.9879646329916667,0.9879646329916667,119.89482796115581,119.89482796115554,119.89482796115568,119.89482796115581,119.89482796115581,119.89482796115581,1.2789769243681803e-13,-0.46147454374425056,-0.4614745437431277
171.79083871575935,0.9879723567772719,0.9879723567772428,0.9879723567772574,0.9879723567772707,0.9879723567772707,0.9879723567772707,119.8948958661039,119.89489586610364,119.89489586610377,119.8948958661039,119.8948958661039,119.8948958661039,1.2789769243681803e-13,-0.4668231861610083,-0.4668231861600818
173.7800828749381,0.9879802605557882,0.9879802605557901,0.9879802605557891,0.9879802605557896,0.9879802605557896,0.9879802605557896,119.89496535294009,119.8949653529401,119.89496535294009,119.89496535294009,119.89496535294009,119.89496535294009,0.0,-0.47223393937595676,-0.47223393937608465
