frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_NM_real_A,I_NM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_NM_phase_deg
1.318256738556407299e+02,9.878328569921395186e-01,9.878328569921395186e-01,9.878328569921395186e-01,1.198936693487004987e+02,1.198936693487004987e+02,1.198936693487004987e+02,9.878135576302899956e-01,-6.174845345649860283e-03,-9.878135576302899956e-01,6.174845345649860283e-03,9.878135576302899956e-01,-6.174845345649860283e-03,-3.581525750932456065e-01,1.796418474249067572e+02,-3.581525750932456065e-01
1.333521432163323936e+02,9.878375102009755437e-01,9.878375102009755437e-01,9.878375102009755437e-01,1.198937102636821521e+02,1.198937102636821521e+02,1.198937102636821521e+02,9.878177609518250524e-01,-6.246415627043271426e-03,-9.878177609518250524e-01,6.246415627043271426e-03,9.878177609518250524e-01,-6.246415627043271426e-03,-3.623021335862643966e-01,1.796376978664137312e+02,-3.623021335862643966e-01
1.348962882591653170e+02,9.878422718270416514e-01,9.878422718270416514e-01,9.878422718270416514e-01,1.198937521317610617e+02,1.198937521317610617e+02,1.198937521317610617e+02,9.878220621949885816e-01,-6.318817076841852336e-03,-9.878220621949885816e-01,6.318817076841852336e-03,9.878220621949885816e-01,-6.318817076841852336e-03,-3.664998242018792096e-01,1.796335001757981331e+02,-3.664998242018792096e-01
1.364583136588923935e+02,9.878471443971157395e-01,9.878471443971157395e-01,9.878471443971157395e-01,1.198937949751407643e+02,1.198937949751407643e+02,1.198937949751407643e+02,9.878264636413129907e-01,-6.392059404741644128e-03,-9.878264636413129907e-01,6.392059404741644128e-03,9.878264636413129907e-01,-6.392059404741644128e-03,-3.707462071839843221e-01,1.796292537928160300e+02,-3.707462071839843221e-01
1.380384264602885196e+02,9.878521304969011263e-01,9.878521304969011263e-01,9.878521304969011263e-01,1.198938388165421429e+02,1.198938388165421429e+02,1.198938388165421429e+02,9.878309676255054850e-01,-6.466152435870335669e-03,-9.878309676255054850e-01,6.466152435870335669e-03,9.878309676255054850e-01,-6.466152435870335669e-03,-3.750418493658244645e-01,1.796249581506341713e+02,-3.750418493658244645e-01
1.396368361055937726e+02,9.878572327723977864e-01,9.878572327723977864e-01,9.878572327723977864e-01,1.198938836792154774e+02,1.198938836792154774e+02,1.198938836792154774e+02,9.878355765366866326e-01,-6.541106112227291353e-03,-9.878355765366866326e-01,6.541106112227291353e-03,9.878355765366866326e-01,-6.541106112227291353e-03,-3.793873242497601828e-01,1.796206126757502375e+02,-3.793873242497601828e-01
1.412537544622753956e+02,9.878624539313137776e-01,9.878624539313137776e-01,9.878624539313137776e-01,1.198939295869527086e+02,1.198939295869527086e+02,1.198939295869527086e+02,9.878402928196605703e-01,-6.616930494148488655e-03,-9.878402928196605703e-01,6.616930494148488655e-03,9.878402928196605703e-01,-6.616930494148488655e-03,-3.837832120883444831e-01,1.796162167879116680e+02,-3.837832120883444831e-01
1.428893958511102085e+02,9.878677967445036456e-01,9.878677967445036456e-01,9.878677967445036456e-01,1.198939765641002282e+02,1.198939765641002282e+02,1.198939765641002282e+02,9.878451189762129658e-01,-6.693635761787770748e-03,-9.878451189762129658e-01,6.693635761787770748e-03,9.878451189762129658e-01,-6.693635761787770748e-03,-3.882300999662082197e-01,1.796117699000337780e+02,-3.882300999662082197e-01
1.445439770745927888e+02,9.878732640474431337e-01,9.878732640474431337e-01,9.878732640474431337e-01,1.198940246355716397e+02,1.198940246355716397e+02,1.198940246355716397e+02,9.878500575664396210e-01,-6.771232216622413008e-03,-9.878500575664396210e-01,6.771232216622413008e-03,9.878500575664396210e-01,-6.771232216622413008e-03,-3.927285818832133568e-01,1.796072714181167953e+02,-3.927285818832133568e-01
1.462177174456718376e+02,9.878788587417408618e-01,9.878788587417408618e-01,9.878788587417408618e-01,1.198940738268610318e+02,1.198940738268610318e+02,1.198940738268610318e+02,9.878551112101080500e-01,-6.849730282979183543e-03,-9.878551112101080500e-01,6.849730282979183543e-03,9.878551112101080500e-01,-6.849730282979183543e-03,-3.972792588386466761e-01,1.796027207411613631e+02,-3.972792588386466761e-01
