harmonic_n,frequency_Hz,dm_source_rms_A,cm_source_total_rms_A,dm_transfer_abs,cm_transfer_abs,dm_at_LDM1_rms_A,cm_at_LDM1_rms_A,dm_at_LDM1_dBuA,cm_at_LDM1_dBuA,ce03_limit_dBuA,dm_margin_dB,cm_margin_dB
2.500000000000000000e+01,3.125000000000000000e+06,1.729186314209980521e-02,3.458372628419961498e-04,4.250286348214093779e-10,2.571919735368510644e-03,7.349536984805327162e-12,8.894656815291567681e-07,-1.026748004054672663e+02,-1.017416074929722081e+00,2.000000000000000000e+01,1.226748004054672663e+02,2.101741607492972364e+01
2.600000000000000000e+01,3.250000000000000000e+06,3.249121970323484883e-17,6.498243940646969766e-19,4.681358887175454767e-10,2.655685526783527033e-03,1.521030601129087039e-26,1.725729238268491124e-21,-3.963572409685414186e+02,-2.952605468555008770e+02,2.000000000000000000e+01,4.163572409685414186e+02,3.152605468555008770e+02
2.700000000000000000e+01,3.375000000000000000e+06,1.590245045515433289e-02,3.180490091030867099e-04,5.013329474098174747e-10,2.746212904299519860e-03,7.972422357721115696e-12,8.734302929985721778e-07,-1.019681940319226499e+02,-1.175434992191609851e+00,2.000000000000000000e+01,1.219681940319226499e+02,2.117543499219161163e+01
2.800000000000000000e+01,3.500000000000000000e+06,2.619649340121985444e-17,5.239298680243970233e-19,5.253799505658518032e-10,2.845131233813181799e-03,1.376311240813155100e-26,1.490649231843830153e-21,-3.972256668615048625e+02,-2.965324907875007625e+02,2.000000000000000000e+01,4.172256668615048625e+02,3.165324907875007625e+02
2.900000000000000000e+01,3.625000000000000000e+06,1.469736374467426991e-02,2.939472748934853852e-04,5.412479407701182738e-10,2.954378404070753545e-03,7.954917861554342499e-12,8.684314808807624048e-07,-1.019872860059743118e+02,-1.225288832749606538e+00,2.000000000000000000e+01,1.219872860059743118e+02,2.122528883274960521e+01
3.000000000000000000e+01,3.750000000000000000e+06,7.627724300955122451e-17,1.525544860191024436e-18,5.499703313656803984e-10,3.076320911412030491e-03,4.195022061362341826e-26,4.693065554702790738e-21,-3.875453150180275088e+02,-2.865708675867629154e+02,2.000000000000000000e+01,4.075453150180275088e+02,3.065708675867629154e+02
3.100000000000000000e+01,3.875000000000000000e+06,1.364102025805847239e-02,2.728204051611693784e-04,5.525590862863958858e-10,3.213919459056864547e-03,7.537469689807005934e-12,8.768228089752601376e-07,-1.024554884252641216e+02,-1.141763226390033026e+00,2.000000000000000000e+01,1.224554884252641216e+02,2.114176322639003303e+01
3.200000000000000000e+01,4.000000000000000000e+06,2.578604867548662580e-17,5.157209735097325737e-19,5.499601289415830028e-10,3.370965223768868958e-03,1.418129865446456166e-26,1.738477466869534629e-21,-3.969656799350435676e+02,-2.951966186803178402e+02,2.000000000000000000e+01,4.169656799350435676e+02,3.151966186803178402e+02
3.300000000000000000e+01,4.125000000000000000e+06,1.270646911599304651e-02,2.541293823198609563e-04,5.430323361845953208e-10,3.552427880368814669e-03,6.900023608715113516e-12,9.027763029739797541e-07,-1.032229884660747246e+02,-8.883969852995095007e-01,2.000000000000000000e+01,1.232229884660747246e+02,2.088839698529950795e+01
3.400000000000000000e+01,4.250000000000000000e+06,1.805891904189229528e-17,3.611783808378458806e-19,5.325404807218083195e-10,3.764985180757656879e-03,9.617105427885541339e-27,1.359831251464534958e-21,-4.003391124591591961e+02,-2.973302996429611085e+02,2.000000000000000000e+01,4.203391124591591961e+02,3.173302996429611085e+02
3.500000000000000000e+01,4.375000000000000000e+06,1.187292496637063627e-02,2.374584993274127395e-04,5.191561833777850380e-10,4.017857669332896078e-03,6.163902411071796536e-12,9.540744526709256613e-07,-1.042028849158423753e+02,-4.083546626794944956e-01,2.000000000000000000e+01,1.242028849158423753e+02,2.040835466267949272e+01
3.600000000000000000e+01,4.500000000000000000e+06,2.532549872008017604e-17,5.065099744016035363e-19,5.034632278084857304e-10,4.324177807165910728e-03,1.275045733147123976e-26,2.190239190415587428e-21,-3.978894847548399980e+02,-2.931901690876248381e+02,2.000000000000000000e+01,4.178894847548399980e+02,3.131901690876248381e+02
3.700000000000000000e+01,4.625000000000000000e+06,1.112410152875872166e-02,2.224820305751744201e-04,4.859650161644646975e-10,4.703342599462757324e-03,5.405924179238378986e-12,1.046409212019193566e-06,-1.053426009957917699e+02,3.940310858020965035e-01,2.000000000000000000e+01,1.253426009957917699e+02,1.960596891419790211e+01
3.800000000000000000e+01,4.750000000000000000e+06,6.336564992466959055e-17,1.267312998493391803e-18,4.670928336358820807e-10,5.185288285354553058e-03,2.959764097849323711e-26,6.571383244965337180e-21,-3.905748580429092840e+02,-2.836468640778298891e+02,2.000000000000000000e+01,4.105748580429092840e+02,3.036468640778298891e+02
3.900000000000000000e+01,4.875000000000000000e+06,1.044705788932983638e-02,2.089411577865967265e-04,4.472141443899135672e-10,5.818810158066488498e-03,4.672072055368539374e-12,1.215788931366822067e-06,-1.066098093581201880e+02,1.697163704340822532e+00,2.000000000000000000e+01,1.266098093581201880e+02,1.830283629565917636e+01
4.000000000000000000e+01,5.000000000000000000e+06,2.481653264668202388e-17,4.963306529336405199e-19,4.266404859125723042e-10,6.689232116893656897e-03,1.058773754704563256e-26,3.320070944202507273e-21,-3.995039366539543266e+02,-2.895770527214223762e+02,2.000000000000000000e+01,4.195039366539543266e+02,3.095770527214223762e+02
