frequency_Hz,LT_I_HOT_abs_A,LT_I_RTN_abs_A,LT_I_CM_abs_A,PY_I_HOT_abs_A,PY_I_RTN_abs_A,PY_I_CM_abs_A,LT_I_HOT_dBuA,LT_I_RTN_dBuA,LT_I_CM_dBuA,PY_I_HOT_dBuA,PY_I_RTN_dBuA,PY_I_CM_dBuA,error_CM_PY_minus_LT_dB,error_HOT_PY_minus_LT_dB,error_RTN_PY_minus_LT_dB,LT_I_CM_phase_deg,PY_I_CM_phase_deg
162.18100973589344,0.4998969887811151,0.49989698878066036,0.9997939775617755,0.4998969887810302,0.4998969887810302,0.9997939775620605,113.97761041420026,113.97761041419237,119.99821032747593,113.97761041419878,113.97761041419878,119.9982103274784,2.4726887204451486e-12,-1.4779288903810084e-12,6.409095476556104e-12,-2.3116639615208888e-05,-2.3115155892327924e-05
164.0589773199544,0.49989715098278864,0.4998971509839255,0.9997943019667141,0.499897150983793,0.499897150983793,0.999794301967586,113.97761323251211,113.97761323253187,119.99821314580161,113.97761323252956,113.97761323252956,119.99821314580919,7.574385563202668e-12,1.745092959026806e-11,-2.3021584638627246e-12,-2.3381140943225913e-05,-2.3382825231898435e-05
165.95869074375656,0.4998973169656864,0.49989731696511797,0.9997946339308044,0.4998973169648524,0.4998973169648524,0.9997946339297048,113.97761611652314,113.97761611651326,119.99821602979782,113.97761611650864,113.97761611650864,119.99821602978827,-9.549694368615746e-12,-1.4495071809506044e-11,-4.618527782440651e-12,-2.3655072548291904e-05,-2.3653594333319957e-05
167.88040181225654,0.49989748681189017,0.49989748681211754,0.9997949736240077,0.4998974868122217,0.4998974868122217,0.9997949736244434,113.97761906765945,113.97761906766341,119.99821898094106,113.97761906766522,113.97761906766522,119.99821898094484,3.780087354243733e-12,5.7696070143720135e-12,1.8047785488306545e-12,-2.3926664861340873e-05,-2.3927499100463523e-05
169.82436524617495,0.4998976606159877,0.4998976606162151,0.9997953212322028,0.49989766061596425,0.49989766061596425,0.9997953212319285,113.9776220875645,113.97762208756846,119.99822200084611,113.97762208756411,113.97762208756411,119.99822200084373,-2.3874235921539366e-12,-3.836930773104541e-13,-4.348521542851813e-12,-2.42033907045476e-05,-2.4204575853537852e-05
171.79083871575935,0.4998978384681324,0.49989783846938296,0.9997956769375154,0.49989783846824126,0.49989783846824126,0.9997956769364825,113.97762517780467,113.9776251778264,119.99822509109515,113.97762517780656,113.97762517780656,119.99822509108618,-8.967049325292464e-12,1.8900436771218665e-12,-1.9838353182421997e-11,-2.448386885880417e-05,-2.4484861333542476e-05
173.7800828749381,0.49989802046404874,0.49989802046404874,0.9997960409280975,0.49989802046336174,0.49989802046336174,0.9997960409267235,113.9776283400431,113.9776283400431,119.99822825332272,113.97762834003117,113.97762834003117,119.99822825331078,-1.1937117960769683e-11,-1.1922907106054481e-11,-1.1922907106054481e-11,-2.4768465783275052e-05,-2.4768392707328398e-05
175.79236139586982,0.4998982066978692,0.4998982066978692,0.9997964133957384,0.49989820669783025,0.49989820669783025,0.9997964133956605,113.9776315759153,113.9776315759153,119.99823148919492,113.97763157591463,113.97763157591463,119.99823148919425,-6.679101716144942e-13,-6.679101716144942e-13,-6.679101716144942e-13,-2.505581329008093e-05,-2.505520757264768e-05
177.82794100389287,0.49989839727066165,0.49989839726997953,0.9997967945406412,0.49989839727040086,0.49989839727040086,0.9997967945408017,113.97763488717729,113.97763488716544,119.998234800451,113.97763488717275,113.97763488717275,119.99823480045238,1.3784529073745944e-12,-4.533262654149439e-12,7.318590178329032e-12,-2.534553837429448e-05,-2.5345343962836846e-05
179.8870915128794,0.4998985922820157,0.49989859228167466,0.9997971845636904,0.49989859228212796,0.49989859228212796,0.9997971845642559,113.97763827555936,113.97763827555345,119.99823818883604,113.97763827556132,113.97763827556132,119.99823818884094,4.902744876744691e-12,1.9610979506978765e-12,7.87281351222191e-12,-2.5640419709521446e-05,-2.5638840352273998e-05
