frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_HOT_real_A,I_HOT_imag_A,I_RTN_real_A,I_RTN_imag_A,I_CM_real_A,I_CM_imag_A,I_HOT_phase_deg,I_RTN_phase_deg,I_CM_phase_deg
1.584893192461114211e+02,4.998966753683165010e-01,4.998966753683165010e-01,9.997933507366330019e-01,1.139776049685386567e+02,1.139776049685386567e+02,1.199982048818182818e+02,4.998966753682776432e-01,-1.970852576884936053e-07,4.998966753682776432e-01,-1.970852576884936053e-07,9.997933507365552863e-01,-3.941705153769872107e-07,-2.258897493462892956e-05,-2.258897493462892956e-05,-2.258897493462892956e-05
1.603245390690041745e+02,4.998968302705553701e-01,4.998968302705553701e-01,9.997936605411107402e-01,1.139776076600219454e+02,1.139776076600219454e+02,1.199982075733015705e+02,4.998968302705156241e-01,-1.993675279905682325e-07,4.998968302705156241e-01,-1.993675279905682325e-07,9.997936605410312483e-01,-3.987350559811364651e-07,-2.285055082192425570e-05,-2.285055082192425570e-05,-2.285055082192425570e-05
1.621810097358929852e+02,4.998969887810302271e-01,4.998969887810302271e-01,9.997939775620604541e-01,1.139776104141987787e+02,1.139776104141987787e+02,1.199982103274784038e+02,4.998969887809895929e-01,-2.016762303259739587e-07,4.998969887809895929e-01,-2.016762303259739587e-07,9.997939775619791858e-01,-4.033524606519479174e-07,-2.311515589234414004e-05,-2.311515589234414004e-05,-2.311515589234414004e-05
1.640589773199538683e+02,4.998971509837929483e-01,4.998971509837929483e-01,9.997943019675858967e-01,1.139776132325295634e+02,1.139776132325295634e+02,1.199982131458091885e+02,4.998971509837513150e-01,-2.040116709243757454e-07,4.998971509837513150e-01,-2.040116709243757454e-07,9.997943019675026299e-01,-4.080233418487514908e-07,-2.338282523190021362e-05,-2.338282523190021362e-05,-2.338282523190021362e-05
1.659586907437561365e+02,4.998973169648524562e-01,4.998973169648524562e-01,9.997946339297049123e-01,1.139776161165086421e+02,1.139776161165086421e+02,1.199982160297882672e+02,4.998973169648098236e-01,-2.063741595677420838e-07,4.998973169648098236e-01,-2.063741595677420838e-07,9.997946339296196472e-01,-4.127483191354841676e-07,-2.365359433329929621e-05,-2.365359433329929621e-05,-2.365359433329929621e-05
1.678804018122560535e+02,4.998974868122216253e-01,4.998974868122216253e-01,9.997949736244432506e-01,1.139776190676652163e+02,1.139776190676652163e+02,1.199982189809448414e+02,4.998974868121781046e-01,-2.087640096299351822e-07,4.998974868121781046e-01,-2.087640096299351822e-07,9.997949736243562091e-01,-4.175280192598703644e-07,-2.392749910046491918e-05,-2.392749910046491918e-05,-2.392749910046491918e-05
1.698243652461744375e+02,4.998976606159643010e-01,4.998976606159643010e-01,9.997953212319286020e-01,1.139776220875641144e+02,1.139776220875641144e+02,1.199982220008437395e+02,4.998976606159196701e-01,-2.111815381206099839e-07,4.998976606159196701e-01,-2.111815381206099839e-07,9.997953212318393401e-01,-4.223630762412199677e-07,-2.420457585355223484e-05,-2.420457585355223484e-05,-2.420457585355223484e-05
1.717908387157587526e+02,4.998978384682413734e-01,4.998978384682413734e-01,9.997956769364827467e-01,1.139776251778065586e+02,1.139776251778065586e+02,1.199982250910861836e+02,4.998978384681957432e-01,-2.136270657252288504e-07,4.998978384681957432e-01,-2.136270657252288504e-07,9.997956769363914864e-01,-4.272541314504577007e-07,-2.448486133351711891e-05,-2.448486133351711891e-05,-2.448486133351711891e-05
1.737800828749376194e+02,4.998980204633616808e-01,4.998980204633616808e-01,9.997960409267233617e-01,1.139776283400311598e+02,1.139776283400311598e+02,1.199982282533107849e+02,4.998980204633149405e-01,-2.161009168509631242e-07,4.998980204633149405e-01,-2.161009168509631242e-07,9.997960409266298809e-01,-4.322018337019262483e-07,-2.476839270735935861e-05,-2.476839270735935861e-05,-2.476839270735935861e-05
1.757923613958693068e+02,4.998982066978303052e-01,4.998982066978303052e-01,9.997964133956606103e-01,1.139776315759146286e+02,1.139776315759146286e+02,1.199982314891942536e+02,4.998982066977825656e-01,-2.186034196663980626e-07,4.998982066977825656e-01,-2.186034196663980626e-07,9.997964133955651311e-01,-4.372068393327961252e-07,-2.505520757265502433e-05,-2.505520757265502433e-05,-2.505520757265502433e-05
1.778279410038922776e+02,4.998983972704008072e-01,4.998983972704008072e-01,9.997967945408016144e-01,1.139776348871727549e+02,1.139776348871727549e+02,1.199982348004523800e+02,4.998983972703519574e-01,-2.211349061478051096e-07,4.998983972703519574e-01,-2.211349061478051096e-07,9.997967945407039148e-01,-4.422698122956102191e-07,-2.534534396284092187e-05,-2.534534396284092187e-05,-2.534534396284092187e-05
1.798870915128787260e+02,4.998985922821277961e-01,4.998985922821277961e-01,9.997971845642555921e-01,1.139776382755613184e+02,1.139776382755613184e+02,1.199982381888409435e+02,4.998985922820777250e-01,-2.236957121232324753e-07,4.998985922820777250e-01,-2.236957121232324753e-07,9.997971845641554500e-01,-4.473914242464649505e-07,-2.563884035224820766e-05,-2.563884035224820766e-05,-2.563884035224820766e-05
