frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_NM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_NM_dBuA,I_NM_phase_deg
1.428893958511102085e+02,9.878677967445036456e-01,9.878677967445036456e-01,9.878677967445036456e-01,1.198939765641002282e+02,1.198939765641002282e+02,1.198939765641002282e+02,-3.882300999662082197e-01
1.445439770745927888e+02,9.878732640474431337e-01,9.878732640474431337e-01,9.878732640474431337e-01,1.198940246355716397e+02,1.198940246355716397e+02,1.198940246355716397e+02,-3.927285818832133568e-01
1.462177174456718376e+02,9.878788587417408618e-01,9.878788587417408618e-01,9.878788587417408618e-01,1.198940738268610318e+02,1.198940738268610318e+02,1.198940738268610318e+02,-3.972792588386466761e-01
1.479108388168207284e+02,9.878845837966789833e-01,9.878845837966789833e-01,9.878845837966789833e-01,1.198941241640565636e+02,1.198941241640565636e+02,1.198941241640565636e+02,-4.018827389165324782e-01
1.496235656094432898e+02,9.878904422507945871e-01,9.878904422507945871e-01,9.878904422507945871e-01,1.198941756738542210e+02,1.198941756738542210e+02,1.198941756738542210e+02,-4.065396373720370216e-01
1.513561248436208757e+02,9.878964372135011773e-01,9.878964372135011773e-01,9.878964372135011773e-01,1.198942283835720559e+02,1.198942283835720559e+02,1.198942283835720559e+02,-4.112505767191811934e-01
1.531087461682030266e+02,9.879025718667380218e-01,9.879025718667380218e-01,9.879025718667380218e-01,1.198942823211646385e+02,1.198942823211646385e+02,1.198942823211646385e+02,-4.160161868195026980e-01
1.548816618912481147e+02,9.879088494666675713e-01,9.879088494666675713e-01,9.879088494666675713e-01,1.198943375152379076e+02,1.198943375152379076e+02,1.198943375152379076e+02,-4.208371049721256196e-01
1.566751070108148554e+02,9.879152733454096280e-01,9.879152733454096280e-01,9.879152733454096280e-01,1.198943939950643767e+02,1.198943939950643767e+02,1.198943939950643767e+02,-4.257139760048845312e-01
1.584893192461114211e+02,9.879218469128160374e-01,9.879218469128160374e-01,9.879218469128160374e-01,1.198944517905986800e+02,1.198944517905986800e+02,1.198944517905986800e+02,-4.306474523668178955e-01
1.603245390690041745e+02,9.879285736582840149e-01,9.879285736582840149e-01,9.879285736582840149e-01,1.198945109324933611e+02,1.198945109324933611e+02,1.198945109324933611e+02,-4.356381942218188752e-01
1.621810097358929852e+02,9.879354571526168804e-01,9.879354571526168804e-01,9.879354571526168804e-01,1.198945714521153292e+02,1.198945714521153292e+02,1.198945714521153292e+02,-4.406868695435955385e-01
1.640589773199538683e+02,9.879425010499277571e-01,9.879425010499277571e-01,9.879425010499277571e-01,1.198946333815623575e+02,1.198946333815623575e+02,1.198946333815623575e+02,-4.457941542118687983e-01
1.659586907437561365e+02,9.879497090895825728e-01,9.879497090895825728e-01,9.879497090895825728e-01,1.198946967536801509e+02,1.198946967536801509e+02,1.198946967536801509e+02,-4.509607321100912447e-01
1.678804018122560535e+02,9.879570850981959085e-01,9.879570850981959085e-01,9.879570850981959085e-01,1.198947616020798534e+02,1.198947616020798534e+02,1.198947616020798534e+02,-4.561872952242375656e-01
1.698243652461744375e+02,9.879646329916667025e-01,9.879646329916667025e-01,9.879646329916667025e-01,1.198948279611558121e+02,1.198948279611558121e+02,1.198948279611558121e+02,-4.614745437431073127e-01
1.717908387157587526e+02,9.879723567772706883e-01,9.879723567772706883e-01,9.879723567772706883e-01,1.198948958661038944e+02,1.198948958661038944e+02,1.198948958661038944e+02,-4.668231861600776744e-01
1.737800828749376194e+02,9.879802605557893580e-01,9.879802605557893580e-01,9.879802605557893580e-01,1.198949653529400905e+02,1.198949653529400905e+02,1.198949653529400905e+02,-4.722339393760904280e-01
1.757923613958693068e+02,9.879883485237022089e-01,9.879883485237022089e-01,9.879883485237022089e-01,1.198950364585197690e+02,1.198950364585197690e+02,1.198950364585197690e+02,-4.777075288041970902e-01
1.778279410038922776e+02,9.879966249754187357e-01,9.879966249754187357e-01,9.879966249754187357e-01,1.198951092205571172e+02,1.198951092205571172e+02,1.198951092205571172e+02,-4.832446884756028682e-01
1.798870915128787260e+02,9.880050943055732615e-01,9.880050943055732615e-01,9.880050943055732615e-01,1.198951836776451927e+02,1.198951836776451927e+02,1.198951836776451927e+02,-4.888461611471028867e-01
1.819700858609982674e+02,9.880137610113640667e-01,9.880137610113640667e-01,9.880137610113640667e-01,1.198952598692764724e+02,1.198952598692764724e+02,1.198952598692764724e+02,-4.945126984100163825e-01
1.840772001468956205e+02,9.880226296949563558e-01,9.880226296949563558e-01,9.880226296949563558e-01,1.198953378358638133e+02,1.198953378358638133e+02,1.198953378358638133e+02,-5.002450608008309763e-01
1.862087136662867408e+02,9.880317050659322975e-01,9.880317050659322975e-01,9.880317050659322975e-01,1.198954176187618259e+02,1.198954176187618259e+02,1.198954176187618259e+02,-5.060440179132011940e-01
1.883649089489800019e+02,9.880409919438084554e-01,9.880409919438084554e-01,9.880409919438084554e-01,1.198954992602889149e+02,1.198954992602889149e+02,1.198954992602889149e+02,-5.119103485117153518e-01
1.905460717963248385e+02,9.880504952606026237e-01,9.880504952606026237e-01,9.880504952606026237e-01,1.198955828037497326e+02,1.198955828037497326e+02,1.198955828037497326e+02,-5.178448406471825027e-01
1.927524913190936502e+02,9.880602200634706067e-01,9.880602200634706067e-01,9.880602200634706067e-01,1.198956682934581863e+02,1.198956682934581863e+02,1.198956682934581863e+02,-5.238482917736444477e-01
1.949844599758045547e+02,9.880701715173959565e-01,9.880701715173959565e-01,9.880701715173959565e-01,1.198957557747609428e+02,1.198957557747609428e+02,1.198957557747609428e+02,-5.299215088670394813e-01
1.972422736114853308e+02,9.880803549079489878e-01,9.880803549079489878e-01,9.880803549079489878e-01,1.198958452940615302e+02,1.198958452940615302e+02,1.198958452940615302e+02,-5.360653085455848732e-01
1.995262314968878741e+02,9.880907756441099643e-01,9.880907756441099643e-01,9.880907756441099643e-01,1.198959368988449938e+02,1.198959368988449938e+02,1.198959368988449938e+02,-5.422805171919297118e-01
2.018366363681561779e+02,9.881014392611540131e-01,9.881014392611540131e-01,9.881014392611540131e-01,1.198960306377030633e+02,1.198960306377030633e+02,1.198960306377030633e+02,-5.485679710770832163e-01
2.041737944669529554e+02,9.881123514236105354e-01,9.881123514236105354e-01,9.881123514236105354e-01,1.198961265603600737e+02,1.198961265603600737e+02,1.198961265603600737e+02,-5.549285164861829101e-01
2.065380155810529175e+02,9.881235179282882308e-01,9.881235179282882308e-01,9.881235179282882308e-01,1.198962247176992690e+02,1.198962247176992690e+02,1.198962247176992690e+02,-5.613630098459874151e-01
2.089296130854038722e+02,9.881349447073701775e-01,9.881349447073701775e-01,9.881349447073701775e-01,1.198963251617898607e+02,1.198963251617898607e+02,1.198963251617898607e+02,-5.678723178545428407e-01
2.113489039836647692e+02,9.881466378315869603e-01,9.881466378315869603e-01,9.881466378315869603e-01,1.198964279459147235e+02,1.198964279459147235e+02,1.198964279459147235e+02,-5.744573176124299074e-01
2.137962089502232459e+02,9.881586035134575230e-01,9.881586035134575230e-01,9.881586035134575230e-01,1.198965331245986619e+02,1.198965331245986619e+02,1.198965331245986619e+02,-5.811188967562354035e-01
2.162718523727019999e+02,9.881708481106132869e-01,9.881708481106132869e-01,9.881708481106132869e-01,1.198966407536373993e+02,1.198966407536373993e+02,1.198966407536373993e+02,-5.878579535938684986e-01
2.187761623949551790e+02,9.881833781291949892e-01,9.881833781291949892e-01,9.881833781291949892e-01,1.198967508901272225e+02,1.198967508901272225e+02,1.198967508901272225e+02,-5.946753972419966949e-01
2.213094709605638855e+02,9.881962002273333434e-01,9.881962002273333434e-01,9.881962002273333434e-01,1.198968635924953219e+02,1.198968635924953219e+02,1.198968635924953219e+02,-6.015721477655171512e-01
2.238721138568340052e+02,9.882093212187084141e-01,9.882093212187084141e-01,9.882093212187084141e-01,1.198969789205307848e+02,1.198969789205307848e+02,1.198969789205307848e+02,-6.085491363192364611e-01
2.264644307593059693e+02,9.882227480761965888e-01,9.882227480761965888e-01,9.882227480761965888e-01,1.198970969354164282e+02,1.198970969354164282e+02,1.198970969354164282e+02,-6.156073052915487231e-01
2.290867652767772427e+02,9.882364879355997056e-01,9.882364879355997056e-01,9.882364879355997056e-01,1.198972176997613133e+02,1.198972176997613133e+02,1.198972176997613133e+02,-6.227476084504670606e-01
2.317394649968479712e+02,9.882505480994658864e-01,9.882505480994658864e-01,9.882505480994658864e-01,1.198973412776339842e+02,1.198973412776339842e+02,1.198973412776339842e+02,-6.299710110918907979e-01
2.344228815319922603e+02,9.882649360409972994e-01,9.882649360409972994e-01,9.882649360409972994e-01,1.198974677345965176e+02,1.198974677345965176e+02,1.198974677345965176e+02,-6.372784901900571120e-01
2.371373705661655151e+02,9.882796594080519581e-01,9.882796594080519581e-01,9.882796594080519581e-01,1.198975971377393819e+02,1.198975971377393819e+02,1.198975971377393819e+02,-6.446710345504895745e-01
2.398832919019489793e+02,9.882947260272394452e-01,9.882947260272394452e-01,9.882947260272394452e-01,1.198977295557171203e+02,1.198977295557171203e+02,1.198977295557171203e+02,-6.521496449652379734e-01
2.426610095082414205e+02,9.883101439081118933e-01,9.883101439081118933e-01,9.883101439081118933e-01,1.198978650587847881e+02,1.198978650587847881e+02,1.198978650587847881e+02,-6.597153343705420836e-01
