frequency_Hz,FR_gain_Rs0_dB,FR_gain_Rs50_dB,CM_I_HOT_dBuA,CM_I_RTN_dBuA,CM_I_CM_dBuA,NM_I_HOT_dBuA,NM_I_RTN_dBuA,NM_I_NM_dBuA,CM_I_CM_abs_A,NM_I_NM_abs_A
1.757923613958693068e+02,-1.048582040621046374e-01,-8.871935610367232883e+00,1.139776315759146286e+02,1.139776315759146286e+02,1.199982314891942536e+02,1.198950364585197690e+02,1.198950364585197690e+02,1.198950364585197690e+02,9.997964133956606103e-01,9.879883485237022089e-01
1.778279410038922776e+02,-1.047829883858802241e-01,-8.873781932548613582e+00,1.139776348871727549e+02,1.139776348871727549e+02,1.199982348004523800e+02,1.198951092205571172e+02,1.198951092205571172e+02,1.198951092205571172e+02,9.997967945408016144e-01,9.879966249754187357e-01
1.798870915128787260e+02,-1.047060205056009052e-01,-8.875670394705895916e+00,1.139776382755613184e+02,1.139776382755613184e+02,1.199982381888409435e+02,1.198951836776451927e+02,1.198951836776451927e+02,1.198951836776451927e+02,9.997971845642555921e-01,9.880050943055732615e-01
1.819700858609982674e+02,-1.046272595974954978e-01,-8.877601938387783775e+00,1.139776417428769406e+02,1.139776417428769406e+02,1.199982416561565657e+02,1.198952598692764724e+02,1.198952598692764724e+02,1.198952598692764724e+02,9.997975836728378862e-01,9.880137610113640667e-01
1.840772001468956205e+02,-1.045466638864153558e-01,-8.879577525245554881e+00,1.139776452909581792e+02,1.139776452909581792e+02,1.199982452042378043e+02,1.198953378358638133e+02,1.198953378358638133e+02,1.198953378358638133e+02,9.997979920781844276e-01,9.880226296949563558e-01
1.862087136662867408e+02,-1.044641906236828260e-01,-8.881598137419086214e+00,1.139776489216863524e+02,1.139776489216863524e+02,1.199982488349659775e+02,1.198954176187618259e+02,1.198954176187618259e+02,1.198954176187618259e+02,9.997984099968592053e-01,9.880317050659322975e-01
1.883649089489800019e+02,-1.043797960643576134e-01,-8.883664777928279577e+00,1.139776526369866048e+02,1.139776526369866048e+02,1.199982525502662298e+02,1.198954992602889149e+02,1.198954992602889149e+02,1.198954992602889149e+02,9.997988376504730601e-01,9.880409919438084554e-01
1.905460717963248385e+02,-1.042934354440374634e-01,-8.885778471069823325e+00,1.139776564388289870e+02,1.139776564388289870e+02,1.199982563521086121e+02,1.198955828037497326e+02,1.198955828037497326e+02,1.198955828037497326e+02,9.997992752657993698e-01,9.880504952606026237e-01
1.927524913190936502e+02,-1.042050629550645979e-01,-8.887940262819309822e+00,1.139776603292293800e+02,1.139776603292293800e+02,1.199982602425090050e+02,1.198956682934581863e+02,1.198956682934581863e+02,1.198956682934581863e+02,9.997997230748927322e-01,9.880602200634706067e-01
1.949844599758045547e+02,-1.041146317222221840e-01,-8.890151221238641099e+00,1.139776643102506739e+02,1.139776643102506739e+02,1.199982642235302990e+02,1.198957557747609428e+02,1.198957557747609428e+02,1.198957557747609428e+02,9.998001813152169737e-01,9.880701715173959565e-01
1.972422736114853308e+02,-1.040220937778100901e-01,-8.892412436888669447e+00,1.139776683840037350e+02,1.139776683840037350e+02,1.199982682972833601e+02,1.198958452940615302e+02,1.198958452940615302e+02,1.198958452940615302e+02,9.998006502297644982e-01,9.880803549079489878e-01
1.995262314968878741e+02,-1.039274000361965489e-01,-8.894725023247049833e+00,1.139776725526486842e+02,1.139776725526486842e+02,1.199982724659283093e+02,1.198959368988449938e+02,1.198959368988449938e+02,1.198959368988449938e+02,9.998011300671917345e-01,9.880907756441099643e-01
2.018366363681561779e+02,-1.038305002677411687e-01,-8.897090117131204678e+00,1.139776768183959490e+02,1.139776768183959490e+02,1.199982767316755741e+02,1.198960306377030633e+02,1.198960306377030633e+02,1.198960306377030633e+02,9.998016210819462568e-01,9.881014392611540131e-01
2.041737944669529554e+02,-1.037313430721040763e-01,-8.899508879126354799e+00,1.139776811835073858e+02,1.139776811835073858e+02,1.199982810967870108e+02,1.198961265603600737e+02,1.198961265603600737e+02,1.198961265603600737e+02,9.998021235344038971e-01,9.881123514236105354e-01
2.065380155810529175e+02,-1.036298758509560380e-01,-8.901982494018563230e+00,1.139776856502976159e+02,1.139776856502976159e+02,1.199982855635772410e+02,1.198962247176992690e+02,1.198962247176992690e+02,1.198962247176992690e+02,9.998026376910066348e-01,9.881235179282882308e-01
2.089296130854038722e+02,-1.035260447800476769e-01,-8.904512171232621398e+00,1.139776902211351484e+02,1.139776902211351484e+02,1.199982901344147734e+02,1.198963251617898607e+02,1.198963251617898607e+02,1.198963251617898607e+02,9.998031638244035957e-01,9.881349447073701775e-01
2.113489039836647692e+02,-1.034197947805976237e-01,-8.907099145274761653e+00,1.139776948984436586e+02,1.139776948984436586e+02,1.199982948117232837e+02,1.198964279459147235e+02,1.198964279459147235e+02,1.198964279459147235e+02,9.998037022135969343e-01,9.881466378315869603e-01
2.137962089502232459e+02,-1.033110694900443577e-01,-8.909744676180062939e+00,1.139776996847033104e+02,1.139776996847033104e+02,1.199982995979829212e+02,1.198965331245986619e+02,1.198965331245986619e+02,1.198965331245986619e+02,9.998042531440866076e-01,9.881586035134575230e-01
2.162718523727019999e+02,-1.031998112321122485e-01,-8.912450049964421694e+00,1.139777045824520201e+02,1.139777045824520201e+02,1.199983044957316451e+02,1.198966407536373993e+02,1.198966407536373993e+02,1.198966407536373993e+02,9.998048169080260283e-01,9.881708481106132869e-01
2.187761623949551790e+02,-1.030859609861496939e-01,-8.915216579080954773e+00,1.139777095942868073e+02,1.139777095942868073e+02,1.199983095075664323e+02,1.198967508901272225e+02,1.198967508901272225e+02,1.198967508901272225e+02,9.998053938043738320e-01,9.881833781291949892e-01
2.213094709605638855e+02,-1.029694583557903553e-01,-8.918045602880708245e+00,1.139777147228652296e+02,1.139777147228652296e+02,1.199983146361448547e+02,1.198968635924953219e+02,1.198968635924953219e+02,1.198968635924953219e+02,9.998059841390551927e-01,9.881962002273333434e-01
2.238721138568340052e+02,-1.028502415368639789e-01,-8.920938488077538864e+00,1.139777199709067332e+02,1.139777199709067332e+02,1.199983198841863583e+02,1.198969789205307848e+02,1.198969789205307848e+02,1.198969789205307848e+02,9.998065882251202519e-01,9.882093212187084141e-01
2.264644307593059693e+02,-1.027282472845371386e-01,-8.923896629216931942e+00,1.139777253411941444e+02,1.139777253411941444e+02,1.199983252544737553e+02,1.198970969354164282e+02,1.198970969354164282e+02,1.198970969354164282e+02,9.998072063829153144e-01,9.882227480761965888e-01
2.290867652767772427e+02,-1.026034108797213573e-01,-8.926921449148654375e+00,1.139777308365750628e+02,1.139777308365750628e+02,1.199983307498546878e+02,1.198972176997613133e+02,1.198972176997613133e+02,1.198972176997613133e+02,9.998078389402480504e-01,9.882364879355997056e-01
2.317394649968479712e+02,-1.024756660946917197e-01,-8.930014399503011902e+00,1.139777364599634524e+02,1.139777364599634524e+02,1.199983363732430774e+02,1.198973412776339842e+02,1.198973412776339842e+02,1.198973412776339842e+02,9.998084862325640199e-01,9.882505480994658864e-01
2.344228815319922603e+02,-1.023449451578691827e-01,-8.933176961170522290e+00,1.139777422143411911e+02,1.139777422143411911e+02,1.199983421276208020e+02,1.198974677345965176e+02,1.198974677345965176e+02,1.198974677345965176e+02,9.998091486031245312e-01,9.882649360409972994e-01
2.371373705661655151e+02,-1.022111787178273112e-01,-8.936410644784750446e+00,1.139777481027595485e+02,1.139777481027595485e+02,1.199983480160391736e+02,1.198975971377393819e+02,1.198975971377393819e+02,1.198975971377393819e+02,9.998098264031882731e-01,9.882796594080519581e-01
2.398832919019489793e+02,-1.020742958064066730e-01,-8.939716991208108254e+00,1.139777541283409477e+02,1.139777541283409477e+02,1.199983540416205727e+02,1.198977295557171203e+02,1.198977295557171203e+02,1.198977295557171203e+02,9.998105199921969444e-01,9.882947260272394452e-01
2.426610095082414205e+02,-1.019342238010182422e-01,-8.943097572020349162e+00,1.139777602942805146e+02,1.139777602942805146e+02,1.199983602075601397e+02,1.198978650587847881e+02,1.198978650587847881e+02,1.198978650587847881e+02,9.998112297379670999e-01,9.883101439081118933e-01
2.454708915685031059e+02,-1.017908883860285940e-01,-8.946553990009480373e+00,1.139777666038478117e+02,1.139777666038478117e+02,1.199983665171274367e+02,1.198980037188353265e+02,1.198980037188353265e+02,1.198980037188353265e+02,9.998119560168858833e-01,9.883259212474579947e-01
2.483133105295570431e+02,-1.016442135132658575e-01,-8.950087879664826218e+00,1.139777730603885857e+02,1.139777730603885857e+02,1.199983729736682108e+02,1.198981456094378188e+02,1.198981456094378188e+02,1.198981456094378188e+02,9.998126992141082026e-01,9.883420664336945993e-01
2.511886431509579722e+02,-1.014941213615778853e-01,-8.953700907671924725e+00,1.139777796673264874e+02,1.139777796673264874e+02,1.199983795806061124e+02,1.198982908058765275e+02,1.198982908058765275e+02,1.198982908058765275e+02,9.998134597237643417e-01,9.883585880513630073e-01
2.540972705549306454e+02,-1.013405322954759324e-01,-8.957394773408932309e+00,1.139777864281649897e+02,1.139777864281649897e+02,1.199983863414446148e+02,1.198984393851909971e+02,1.198984393851909971e+02,1.198984393851909971e+02,9.998142379491662401e-01,9.883754948857316203e-01
2.570395782768864592e+02,-1.011833648227859067e-01,-8.961171209444211527e+00,1.139777933464891078e+02,1.139777933464891078e+02,1.199983932597687328e+02,1.198985914262169530e+02,1.198985914262169530e+02,1.198985914262169530e+02,9.998150343030233200e-01,9.883927959275093933e-01
2.600159563165271948e+02,-1.010225355513188344e-01,-8.965031982034716407e+00,1.139778004259674304e+02,1.139778004259674304e+02,1.199984003392470555e+02,1.198987470096282664e+02,1.198987470096282664e+02,1.198987470096282664e+02,9.998158492076606452e-01,9.884105003776659792e-01
2.630267991895381670e+02,-1.008579591445362966e-01,-8.968978891624832528e+00,1.139778076703539966e+02,1.139778076703539966e+02,1.199984075836336217e+02,1.198989062179798282e+02,1.198989062179798282e+02,1.198989062179798282e+02,9.998166830952440742e-01,9.884286176523733314e-01
