frequency_Hz,I_HOT_abs_A,I_RTN_abs_A,I_CM_abs_A,I_HOT_dBuA,I_RTN_dBuA,I_CM_dBuA,I_CM_phase_deg
2.041737944669529554e+02,4.999010617672019485e-01,4.999010617672019485e-01,9.998021235344038971e-01,1.139776811835073858e+02,1.139776811835073858e+02,1.199982810967870108e+02,-2.910052119126014901e-05
2.065380155810529175e+02,4.999013188455033174e-01,4.999013188455033174e-01,9.998026376910066348e-01,1.139776856502976159e+02,1.139776856502976159e+02,1.199982855635772410e+02,-2.943750620395862229e-05
2.089296130854038722e+02,4.999015819122017978e-01,4.999015819122017978e-01,9.998031638244035957e-01,1.139776902211351484e+02,1.139776902211351484e+02,1.199982901344147734e+02,-2.977839391175917004e-05
2.113489039836647692e+02,4.999018511067984671e-01,4.999018511067984671e-01,9.998037022135969343e-01,1.139776948984436586e+02,1.139776948984436586e+02,1.199982948117232837e+02,-3.012322952639145672e-05
2.137962089502232459e+02,4.999021265720433038e-01,4.999021265720433038e-01,9.998042531440866076e-01,1.139776996847033104e+02,1.139776996847033104e+02,1.199982995979829212e+02,-3.047205878414266280e-05
2.162718523727019999e+02,4.999024084540130142e-01,4.999024084540130142e-01,9.998048169080260283e-01,1.139777045824520201e+02,1.139777045824520201e+02,1.199983044957316451e+02,-3.082492795145093801e-05
2.187761623949551790e+02,4.999026969021869160e-01,4.999026969021869160e-01,9.998053938043738320e-01,1.139777095942868073e+02,1.139777095942868073e+02,1.199983095075664323e+02,-3.118188383144694528e-05
2.213094709605638855e+02,4.999029920695275964e-01,4.999029920695275964e-01,9.998059841390551927e-01,1.139777147228652296e+02,1.139777147228652296e+02,1.199983146361448547e+02,-3.154297376986691645e-05
2.238721138568340052e+02,4.999032941125601259e-01,4.999032941125601259e-01,9.998065882251202519e-01,1.139777199709067332e+02,1.139777199709067332e+02,1.199983198841863583e+02,-3.190824566157825167e-05
2.264644307593059693e+02,4.999036031914576572e-01,4.999036031914576572e-01,9.998072063829153144e-01,1.139777253411941444e+02,1.139777253411941444e+02,1.199983252544737553e+02,-3.227774795701318189e-05
2.290867652767772427e+02,4.999039194701240252e-01,4.999039194701240252e-01,9.998078389402480504e-01,1.139777308365750628e+02,1.139777308365750628e+02,1.199983307498546878e+02,-3.265152966842364639e-05
2.317394649968479712e+02,4.999042431162820099e-01,4.999042431162820099e-01,9.998084862325640199e-01,1.139777364599634524e+02,1.139777364599634524e+02,1.199983363732430774e+02,-3.302964037651232748e-05
2.344228815319922603e+02,4.999045743015622656e-01,4.999045743015622656e-01,9.998091486031245312e-01,1.139777422143411911e+02,1.139777422143411911e+02,1.199983421276208020e+02,-3.341213023717190208e-05
2.371373705661655151e+02,4.999049132015941366e-01,4.999049132015941366e-01,9.998098264031882731e-01,1.139777481027595485e+02,1.139777481027595485e+02,1.199983480160391736e+02,-3.379904998797765776e-05
2.398832919019489793e+02,4.999052599960984722e-01,4.999052599960984722e-01,9.998105199921969444e-01,1.139777541283409477e+02,1.139777541283409477e+02,1.199983540416205727e+02,-3.419045095510332016e-05
2.426610095082414205e+02,4.999056148689835499e-01,4.999056148689835499e-01,9.998112297379670999e-01,1.139777602942805146e+02,1.139777602942805146e+02,1.199983602075601397e+02,-3.458638506008756560e-05
2.454708915685031059e+02,4.999059780084429416e-01,4.999059780084429416e-01,9.998119560168858833e-01,1.139777666038478117e+02,1.139777666038478117e+02,1.199983665171274367e+02,-3.498690482684607824e-05
2.483133105295570431e+02,4.999063496070541013e-01,4.999063496070541013e-01,9.998126992141082026e-01,1.139777730603885857e+02,1.139777730603885857e+02,1.199983729736682108e+02,-3.539206338862116409e-05
2.511886431509579722e+02,4.999067298618821709e-01,4.999067298618821709e-01,9.998134597237643417e-01,1.139777796673264874e+02,1.139777796673264874e+02,1.199983795806061124e+02,-3.580191449500055054e-05
2.540972705549306454e+02,4.999071189745831201e-01,4.999071189745831201e-01,9.998142379491662401e-01,1.139777864281649897e+02,1.139777864281649897e+02,1.199983863414446148e+02,-3.621651251937738856e-05
2.570395782768864592e+02,4.999075171515116600e-01,4.999075171515116600e-01,9.998150343030233200e-01,1.139777933464891078e+02,1.139777933464891078e+02,1.199983932597687328e+02,-3.663591246585760306e-05
2.600159563165271948e+02,4.999079246038303226e-01,4.999079246038303226e-01,9.998158492076606452e-01,1.139778004259674304e+02,1.139778004259674304e+02,1.199984003392470555e+02,-3.706016997690876982e-05
2.630267991895381670e+02,4.999083415476220371e-01,4.999083415476220371e-01,9.998166830952440742e-01,1.139778076703539966e+02,1.139778076703539966e+02,1.199984075836336217e+02,-3.748934134055696818e-05
2.660725059798808729e+02,4.999087682040036507e-01,4.999087682040036507e-01,9.998175364080073013e-01,1.139778150834902704e+02,1.139778150834902704e+02,1.199984149967698954e+02,-3.792348349811464889e-05
2.691534803926916766e+02,4.999092047992448329e-01,4.999092047992448329e-01,9.998184095984896658e-01,1.139778226693072583e+02,1.139778226693072583e+02,1.199984225825868833e+02,-3.836265405166087013e-05
2.722701308077912472e+02,4.999096515648863703e-01,4.999096515648863703e-01,9.998193031297727407e-01,1.139778304318274991e+02,1.139778304318274991e+02,1.199984303451071241e+02,-3.880691127185249308e-05
2.754228703338166042e+02,4.999101087378655661e-01,4.999101087378655661e-01,9.998202174757311322e-01,1.139778383751672948e+02,1.139778383751672948e+02,1.199984382884469198e+02,-3.925631410552379537e-05
2.786121168629769613e+02,4.999105765606385310e-01,4.999105765606385310e-01,9.998211531212770620e-01,1.139778465035387853e+02,1.139778465035387853e+02,1.199984464168184104e+02,-3.971092218373131223e-05
2.818382931264454783e+02,4.999110552813124664e-01,4.999110552813124664e-01,9.998221105626249328e-01,1.139778548212522793e+02,1.139778548212522793e+02,1.199984547345319044e+02,-4.017079582983512030e-05
2.851018267503909556e+02,4.999115451537743948e-01,4.999115451537743948e-01,9.998230903075487896e-01,1.139778633327184991e+02,1.139778633327184991e+02,1.199984632459981242e+02,-4.063599606740826188e-05
2.884031503126605571e+02,4.999120464378278283e-01,4.999120464378278283e-01,9.998240928756556567e-01,1.139778720424508975e+02,1.139778720424508975e+02,1.199984719557305226e+02,-4.110658462828500133e-05
2.917427014001165730e+02,4.999125593993298255e-01,4.999125593993298255e-01,9.998251187986596511e-01,1.139778809550681018e+02,1.139778809550681018e+02,1.199984808683477269e+02,-4.158262396108230172e-05
2.951209226666387053e+02,4.999130843103326005e-01,4.999130843103326005e-01,9.998261686206652010e-01,1.139778900752963580e+02,1.139778900752963580e+02,1.199984899885759830e+02,-4.206417723950266543e-05
2.985382618917960258e+02,4.999136214492266861e-01,4.999136214492266861e-01,9.998272428984533722e-01,1.139778994079719610e+02,1.139778994079719610e+02,1.199984993212515860e+02,-4.255130837071284175e-05
3.019951720402016235e+02,4.999141711008905364e-01,4.999141711008905364e-01,9.998283422017810729e-01,1.139779089580439404e+02,1.139779089580439404e+02,1.199985088713235513e+02,-4.304408200397031534e-05
3.054921113215512491e+02,4.999147335568400741e-01,4.999147335568400741e-01,9.998294671136801481e-01,1.139779187305765760e+02,1.139779187305765760e+02,1.199985186438562010e+02,-4.354256353911679022e-05
3.090295432513592004e+02,4.999153091153852313e-01,4.999153091153852313e-01,9.998306182307704626e-01,1.139779287307521827e+02,1.139779287307521827e+02,1.199985286440318077e+02,-4.404681913594743801e-05
