#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321A7F296
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 1000 Hz
#Stop: 2.5e+07 Hz
#Steps: 1001
#Order: W1-C1-R-C2-DUT-GND
#Resistor: 100 Ω
#Average: 3
#ProbeResistance: 1.04e+06 Ω
#ProbeCapacitance: 0 F
#Compensation: Open Short
#Wavegen: Wavegen1
#Amplitude: 0.999935 V
#Offset: -0.000612848 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.45848 V
#Offset: -0.000277946 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.54417 V
#Offset: 0.000228067 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm),Trace Rs (Ohm),Trace Xs (Ohm)
9093.915655692368,-81.15376685674941,32531.88294557011,5002.85732826891,-32144.90358575153
9186.474247204365,-81.24276288191552,32321.34665072857,4920.867703708298,-31944.55368852668
9279.97490736832,-81.53727862778116,31814.24812606681,4681.972195998394,-31467.84899199251
9374.427224633338,-81.74891139903235,31903.98232189658,4578.585966705672,-31573.73336400647
9469.840885040521,-81.68227445878692,31758.15863253224,4594.208993952986,-31424.09717794551
9566.225673216286,-81.82131125542942,31046.87301927844,4416.752217664738,-30731.10190219272
9663.591473375709,-81.86235144245379,30722.7412438604,4348.857400531441,-30413.38963100042
9761.948270336236,-81.85062869653922,30297.31502822676,4294.77391992774,-29991.36900670464
9861.306150541539,-82.7527685152985,30042.84887739893,3789.936498248118,-29802.83795227355
9961.675303095904,-82.12883271973422,29945.7208701498,4100.949045435673,-29663.58736497772
10063.06602080916,-80.80856425825846,29633.68678474573,4733.496484934353,-29253.19475687276
10165.48870125214,-81.67393165673596,29142.10773984989,4219.963678884431,-28834.95014855956
10268.95384782298,-82.08070409093925,28941.18983888847,3987.462703002338,-28665.18115210065
10373.47207082424,-81.49558498107906,28609.17638008835,4230.88581260756,-28294.6033438831
10479.05408855095,-81.87310536727436,28164.07337119893,3981.440520349503,-27881.23311909277
10585.71072838984,-82.05035566613364,28129.23276190144,3890.349635248187,-27858.91088123786
10693.45292792959,-81.71741267598962,27671.09117517744,3986.172017358961,-27382.47102569465
10802.29173608255,-81.63493822023902,27442.25924042637,3992.293179860571,-27150.30731658125
10912.23831421776,-82.59575664780407,27312.24256472926,3519.702475571096,-27084.50273492329
11023.30393730555,-81.41288562699148,26839.18937312495,4007.439123283591,-26538.32168543519
11135.49999507381,-81.68722783883703,26782.1649051719,3872.079131424983,-26500.7803697892
11248.83799317595,-83.30495092711401,26405.96458101448,3078.537183931943,-26225.89510886024
11363.32955437086,-82.39435160975344,25845.30902128445,3420.732785909312,-25617.93484286141
11478.98641971478,-82.14392590562187,25922.89210922341,3543.273877293223,-25679.59395194809
11595.82044976531,-82.75360341034239,25641.04687797611,3234.273969300488,-25436.24887616241
11713.8436257978,-83.30829576854697,25523.72010651929,2974.200904771396,-25349.84057255576
11833.06805103391,-83.33284257180114,25155.87647136825,2920.633020155024,-24985.75641849409
11953.50595188291,-82.48002420283139,24896.41042454349,3258.239166600074,-24682.28371850043
12075.16967919537,-82.67642814385097,24744.69049003835,3154.27175663247,-24542.82536981235
12198.07170952981,-82.27504798925017,24436.71125461018,3284.727516310685,-24214.94212433272
12322.22464643217,-83.04152382631538,24236.17409101678,2936.212151455867,-24057.65559591616
12447.64122172823,-82.86139712173279,23961.23556993826,2977.663454164381,-23775.49853087856
12574.33429682936,-82.92519380647562,23865.01861178397,2939.337921509136,-23683.31492684192
12702.31686405133,-82.20421432074079,23480.92627655578,3185.016211082271,-23263.91133365563
12831.60204794676,-82.53006422509921,23054.55300821143,2997.228918335736,-22858.89396317159
12962.20310665101,-83.31006765973194,23178.59938663548,2700.219248205381,-23020.77942941463
13094.13343324174,-82.54488266432763,22762.90063450862,2953.475059010837,-22570.48139434145
13227.40655711247,-82.49586387513789,22650.41397861375,2958.093403202387,-22456.42306380318
13362.03614535994,-82.8523675998852,22460.38263531301,2794.664584526398,-22285.83940498235
13498.03600418563,-83.20734675451187,21892.56427105233,2589.379036577088,-21738.89340714224
13635.42008031171,-82.99539324281444,21770.37966836988,2654.879225623404,-21607.89316898632
13774.20246241111,-82.89423871665409,21765.26545225135,2692.390726496655,-21598.09742507059
13914.39738255247,-83.0157652739619,21593.00503824647,2625.628089673431,-21432.77732158049
14056.01921765946,-83.02027732887133,21254.52293547616,2582.80855468589,-21097.01033759342
14199.08249098527,-83.08442330670809,21245.01851141906,2558.043206770778,-21090.45344469465
14343.6018736019,-83.70191488365467,21089.61781823617,2313.554101069872,-20962.33400985414
14489.59218590466,-83.52568782076631,20732.089932405,2337.70375823734,-20599.87121571521
14637.06839913204,-82.93772614736601,20418.58632714188,2510.425444332109,-20263.67270973836
14786.04563690096,-83.75747445915023,20463.07996995859,2225.097924728707,-20341.74478952798
14936.53917675769,-83.00169092609667,20299.58017110197,2473.301885435897,-20148.3431801847
15088.56445174462,-83.901885927884,20178.5059998502,2143.589771876719,-20064.3247400927
15242.13705198281,-83.24926976863354,19855.39693118107,2334.002982401371,-19717.73864754517
15397.27272627086,-84.09554852126432,19508.17535746877,2006.802446264743,-19404.68112903218
15553.98738369984,-84.06078599583886,19385.00477385519,2005.830427669044,-19280.95055690526
15712.2970952848,-83.52510301403431,19126.30653880461,2156.833213399788,-19004.30667785319
15872.21809561291,-84.09516711608974,19142.02225247694,1969.263091141863,-19040.45742077088
16033.76678450817,-84.16157975925587,18786.19335869294,1910.995486357682,-18688.74413012601
16196.95972871335,-83.34450361153827,18594.50076526788,2155.089102349817,-18469.19190626598
16361.81366358881,-83.44745205507874,18534.83698886618,2115.091898660423,-18413.7603021236
16528.3454948287,-83.40012979821755,18367.31119932933,2111.045077794846,-18245.59150514246
16696.57230019472,-83.32192732651596,18111.32459965519,2106.177495269969,-17988.44337658191
16866.51133126732,-83.64503128882261,17799.86614260933,1970.228943354318,-17690.48989162197
17038.18001521494,-83.71238761171695,17921.15496942988,1962.714311357301,-17813.35308049314
17211.5959565811,-83.96315244854537,17492.39921326057,1839.641159491541,-17395.3945238498
17386.77693908972,-83.5762435985079,17375.48786647609,1943.986368016921,-17266.39787561442
17563.74092746892,-83.55929561575292,17103.71843612709,1918.607941346241,-16995.76794115867
17742.50606929325,-83.48062422383408,17064.47306928805,1937.486698611548,-16954.12594105519
17923.09069684463,-83.75426129970383,16866.17582246517,1834.920903074558,-16766.06549413931
18105.51332899249,-83.04684490593846,16659.31689171346,2016.740238532161,-16536.79527927993
18289.79267309264,-83.96223470398121,16628.35411912755,1749.03610952592,-16536.11300755654
18475.94762690603,-83.6059756331471,16469.74191203234,1834.15753647253,-16367.2925305426
18663.99728053628,-84.26635869756225,16274.86460724414,1625.923763729985,-16193.44280561321
18853.96091838784,-83.18789721082808,16075.30086971832,1906.75112797103,-15961.81688242124
19045.85802114311,-83.76124270125344,15961.89861292784,1734.608523149675,-15867.36716033269
19239.70826776061,-83.72268637421983,15900.20193200681,1738.539873144246,-15804.86952138741
19435.53153749272,-84.3206370089846,15564.74505455455,1540.308034481505,-15488.34206014937
19633.3479119245,-83.48593629375124,15441.81007716589,1751.828425230716,-15342.11835529291
19833.17767703292,-84.51650725315896,15318.78451567261,1463.847254815732,-15248.68224641655
20035.04132526729,-84.56741669093655,15285.1561646568,1447.11390966702,-15216.49960767567
20238.95955765054,-84.82740468125201,15077.48081775777,1359.328925382719,-15016.07980407907
20444.95328590249,-83.93713897613172,14987.34251040892,1582.955948598631,-14903.51253863016
20653.04363458381,-83.79413396097767,14827.3011024785,1602.848122655291,-14740.41165908404
